Student_ID,Name,Date_of_Birth,Address,Contact_Number
1,"Alice Johnson",2000-01-01,"123 Main St",123-456-7890
2,"Bob Smith",2001-02-02,"456 Elm St",987-654-3210
3,"Charlie Brown",2002-03-03,"789 Oak St",555-555-5555
4,"David Miller",2003-04-04,"101 Pine St",111-222-3333
5,"Emily Davis",2004-05-05,"202 Cedar St",444-555-6666
6,"Frank Wilson",2005-06-06,"303 Maple St",777-888-9999
7,"Grace Lee",2006-07-07,"404 Birch St",123-456-7890
8,"Henry Moore",2007-08-08,"505 Elm St",987-654-3210
9,"Isabella Clark",2008-09-09,"606 Oak St",555-555-5555
10,"Jacob Taylor",2009-10-10,"707 Pine St",111-222-3333
